Development Stage,Current,Disease,Intervention,RFP Year,Progress,Project,Partner,Awarded Amount
Discovery,Drug Lead Identification,Malaria,Drug,2014,TERMINATED,Identification of lead compounds for anti-Malarial agent,"Daiichi Sankyo, Inc.,Medicines for Malaria Venture (MMV)","$636,941"
Discovery,Drug Hit Identification,Malaria,Drug,2014,Successfully Completed,Screening Program,"Sumitomo Dainippon Pharma Co., Ltd.,Medicines for Malaria Venture (MMV)","$137,883"
Discovery,Drug Hit Identification,Malaria,Drug,2014,Successfully Completed,Screening Program,"Mitsubishi Tanabe Pharma Corporation,Medicines for Malaria Venture (MMV)","$186,420"
Discovery,Drug Hit Identification,Tuberculosis,Drug,2014,TERMINATED,Screening Program,"Op Bio Factory Co., Ltd.,The Global Alliance for TB Drug Development","$150,000"
Discovery,Drug Hit Identification,Tuberculosis,Drug,2014,Successfully Completed,Screening Program,"Daiichi Sankyo RD Novare Co., Ltd.,The Global Alliance for TB Drug Development","$150,000"
Preclinical,Drug Lead Optimization,NTD(Leishmaniasis),Drug,2014,Successfully Completed,Lead optimization of the aminopyrazole series for visceral leishmaniasis,"Takeda Pharmaceutical Company Limited,Drugs for Neglected Diseases initiative","$4,022,552"
Clinical,Drug Clinical Phase2,NTD(Schistosomiasis),Drug,2014,Successfully Completed,Development and registration of a new praziquantel pediatric formulation for the treatment of schistosomiasis,"Astellas Pharma Inc.,Merck KGaA,Simcyp Limited,Swiss Tropical and Public Health Institute,Farmanguinhos,Lygature","$4,856,513"
Discovery,Diagnostic Development Feasibility,NTD(Schistosomiasis),Diagnostic,2014,Successfully Completed,Development of a sensitive and specific point-of-care diagnostics for Asian zoonotic schistosomiasis,"Graduate School of Agricultural and Life Sciences, The University of Tokyo,InBios International, Inc.,University of the Philippines,National Research Center for Protozoan Diseases, Obihiro University of Agriculture and Veterinary Medicine","$779,036"
Discovery,Drug Hit Identification,NTD(Chagas disease / Leishmaniasis),Drug,2013,Successfully Completed,Screening Program,"Kitasato Institute,Drugs for Neglected Diseases initiative",$0
Discovery,Drug Lead Identification,NTD(Chagas disease / Leishmaniasis),Drug,2014,Successfully Completed,Neglected Tropical Diseases Drug Discovery Booster,"Eisai Co., Ltd.,SHIONOGI & CO., LTD.,Takeda Pharmaceutical Company Limited,Drugs for Neglected Diseases initiative","$795,437"
Discovery,Drug Target Validation,Malaria,Drug,2015,Successfully Completed,Proteasome inhibitors as new potent resistance-­reversing antimalarials,"Takeda Pharmaceutical Company Limited,Medicines for Malaria Venture (MMV),The University of Melbourne","$297,133"
Discovery,Diagnostic Technical Feasibility,Malaria,Diagnostic,2015,Successfully Completed,Development of serological biomarkers as indicators of recent and asymptomatic infections for innovative tools to accelerate malaria elimination,"Proteo-Science Centre, Ehime University,CellFree Sciences Co. Ltd.,Foundation for Innovative New Diagnostics (FIND),The Walter and Eliza Hall Institute of Medical Research","$993,030"
Discovery,Drug Lead Identification,Tuberculosis,Drug,2015,Successfully Completed,Hit-to-Lead Development of anti-TB Phenotypic Screening Hits,"The Research Institute of Tuberculosis, Japan Anti-tuberculosis Association,The Global Alliance for TB Drug Development,SHIONOGI & CO., LTD.","$999,720"
Preclinical,Vaccine Lead Optimization,NTD(Leishmaniasis),Vaccine,2015,Successfully Completed,Live attenuated prophylactic vaccine for leishmaniasis ,"Institute of Tropical Medicine (NEKKEN) Nagasaki University ,McGill University ,The Ohio State University","$1,832,967"
Preclinical,Drug Lead Optimization,Malaria,Drug,2015,Successfully Completed,E209 a tetraoxane based rapidly acting antimalarial – candidate selection,"Eisai Co., Ltd.,University of Liverpool,Liverpool School of Tropical Medicine","$207,753"
Clinical,Vaccine Phase2 Clinical Development,Tuberculosis,Vaccine,2015,Successfully Completed,DAR-901 whole cell booster vaccine to prevent TB infection in adolescents (“DAR-PIA”),"Tokyo Medical and Dental University,Muhimbili University of Health and Allied Sciences (MUHAS),Geisel School of Medicine at Dartmouth","$1,423,590"
Preclinical,Vaccine Preclinical Development,NTD(Dengue),Vaccine,2015,Successfully Completed,"Preclinical development of MVDVax, a new dengue vaccine","Institute of Tropical Medicine (NEKKEN) Nagasaki University ,Institut Pasteur,European Vaccine Initiative e.V. (EVI e.V.)","$612,902"
Clinical,Drug Clinical Phase2,Malaria,Drug,2015,Successfully Completed,Commercial formulation development of DSM265,"Takeda Pharmaceutical Company Limited,Medicines for Malaria Venture (MMV)","$1,905,341"
Discovery,Drug Lead Identification,Malaria,Drug,2015,Successfully Completed,Hit-to-Lead Discovery for New Anti-malarials in Collaboration between MMV and Eisai,"Eisai Co., Ltd.,Medicines for Malaria Venture (MMV)","$779,760"
Discovery,Drug Lead Identification,Tuberculosis,Drug,2015,TERMINATED,Identification of lead compounds as novel anti‐TB agents,"Daiichi Sankyo, Inc.,The Global Alliance for TB Drug Development","$908,231"
Discovery,Drug Lead Identification,Malaria,Drug,2015,Successfully Completed,Antimalarial hits from whole cell screening,"Takeda Pharmaceutical Company Limited,Medicines for Malaria Venture (MMV)","$764,033"
Discovery,Drug Hit Identification,Tuberculosis,Drug,2015,Successfully Completed,Screening Program,"Mitsubishi Tanabe Pharma Corporation,The Global Alliance for TB Drug Development","$132,000"
Discovery,Drug Hit Identification,Tuberculosis,Drug,2015,Successfully Completed,Screening Program,"Sumitomo Dainippon Pharma Co., Ltd.,The Global Alliance for TB Drug Development","$79,200"
Clinical,Diagnostic Product Validation,Tuberculosis,Diagnostic,2015,Successfully Completed,Highly Sensitive POC TB-LAM Rapid Diagnostic Test,"Fujifilm Corporation ,Foundation for Innovative New Diagnostics (FIND)","$2,160,577"
Preclinical,Drug Lead Optimization,NTD(Soil-transmitted helminthiasis),Drug,2015,Successfully Completed,Cry5B consortium for soil-transmitted helminths,"Meiji Seika Pharma Co., Ltd.,University of Massachusetts Medical School,PATH","$1,002,996"
Preclinical,Drug Preclinical development,NTD(Leishmaniasis),Drug,2015,Successfully Completed,Preclinical efficacy of CpG D35 combination therapy for treatment of complicated cutaneous leishmaniasis,"GeneDesign, Inc,Drugs for Neglected Diseases initiative","$687,715"
Preclinical,Vaccine Lead Optimization,Malaria,Vaccine,2015,Successfully Completed,Lead optimization of an evolution-proof malaria transmission-blocking vaccine immunogen that is based on a mosquito protein target and effective against both P.falciparum and P. vivax ,"CellFree Sciences Co. Ltd.,Infectious Disease Research Institute,The University of Florida","$419,285"
Clinical,Diagnostic Product Validation,Malaria,Diagnostic,2015,Successfully Completed,Development of a fully automated malaria diagnostic system and field evaluation for practical use,"Juntendo University,Kenya Medical Research Institute (KEMRI-CGHR),Malaria No More Japan (MNMJ),National Institute of Advanced Industrial Science and Technology,Institute of Tropical Medicine (NEKKEN) Nagasaki University ,Panasonic Corporation","$964,500"
Discovery,Drug Hit Identification,Malaria,Drug,2015,Successfully Completed,Screening Program,"Op Bio Factory Co., Ltd.,Medicines for Malaria Venture (MMV)","$68,400"
Discovery,Drug Hit Identification,Malaria,Drug,2015,Successfully Completed,Screening Program,"Daiichi Sankyo RD Novare Co., Ltd.,Medicines for Malaria Venture (MMV)","$150,000"
Discovery,Drug Hit Identification,Tuberculosis,Drug,2015,Successfully Completed,Screening Program,"Chugai Pharmaceutical Co., Ltd.,The Global Alliance for TB Drug Development","$150,000"
Discovery,Drug Hit Identification,NTD(Chagas disease / Leishmaniasis),Drug,2015,Successfully Completed,Screening Program,"Daiichi Sankyo, Inc.,Drugs for Neglected Diseases initiative","$210,050"
Discovery,Drug Hit Identification,Tuberculosis,Drug,2015,Successfully Completed,Screening Program,"Toyama Prefectural University,The Global Alliance for TB Drug Development,HYPHAGENESIS INC.","$150,000"
Discovery,Drug Hit Identification,NTD(Leishmaniasis),Drug,2015,TERMINATED,Screening Program,"Eisai Co., Ltd.,Drugs for Neglected Diseases initiative","$31,000"
Discovery,Drug Lead Identification,Tuberculosis,Drug,2015,Successfully Completed,Development of Phenotypic Screening Hits against Mycobacterium tuberculosis,"Takeda Pharmaceutical Company Limited,The Global Alliance for TB Drug Development","$792,165"
Preclinical,Drug Preclinical development,Malaria,Drug,2016,TERMINATED,DSM421 Clinical Development up to phase IIa GO,"Takeda Pharmaceutical Company Limited,Medicines for Malaria Venture (MMV)","$7,499,822"
Preclinical,Vaccine Preclinical Development,NTD(Dengue),Vaccine,2016,Successfully Completed,Development of novel dengue virus-like particle (VLP) vaccines against all four serotypes,"National Institute of Infectious Diseases,Institute of Tropical Medicine (NEKKEN) Nagasaki University ,VLP Therapeutics","$986,540"
Preclinical,Drug Lead Optimization,Malaria,Drug,2016,TERMINATED,Identification of pre-clinical candidate as an anti-malarial agent,"Daiichi Sankyo, Inc.,Medicines for Malaria Venture (MMV)","$1,761,309"
Discovery,Drug Lead Identification,Malaria,Drug,2016,Successfully Completed,Mitsubishi Tanabe malaria Hit-to-Lead,"Mitsubishi Tanabe Pharma Corporation,Medicines for Malaria Venture (MMV)","$618,222"
Discovery,Drug Target Validation,Tuberculosis,Drug,2016,Successfully Completed,Host-directed drug targeting against tuberculosis,"RIKEN,International Centre for Genetic Engineering and Biotechnology ","$204,990"
Discovery,Vaccine Vaccine Concept Development,Tuberculosis,Vaccine,2016,Successfully Completed,Development of a new mucosal vaccine for Tuberculosis using antibody engineering,"University of Tokyo,Instituto de Nutricion “Salvador Zubiran”,Universidad de Concepcion,Universiti Sains Malaysia","$373,561"
Discovery,Drug Lead Identification,Malaria,Drug,2016,Successfully Completed,New Hit-to-Lead Activity for New Anti-Malarias between MMV and Eisai ,"Eisai Co., Ltd.,Medicines for Malaria Venture (MMV)","$750,000"
Discovery,Drug Lead Identification,Malaria,Drug,2016,Successfully Completed,New Hit-to-Lead Activity for New Anti-Malarias between MMV and Takeda,"Takeda Pharmaceutical Company Limited,Medicines for Malaria Venture (MMV)","$483,360"
Discovery,Drug Lead Identification,NTD(Chagas disease / Leishmaniasis),Drug,2016,Successfully Completed,Identification of lead compounds for Leishmania donovani and/or Trypanosoma cruzi,"Daiichi Sankyo, Inc.,Drugs for Neglected Diseases initiative","$780,000"
Clinical,Vaccine Phase1 Clinical Development,Malaria,Vaccine,2016,Successfully Completed,Clinical Development of BK-SE36/CpG Malaria Vaccine: safety evaluation of BK-SE36/CpG in the malaria endemic population,"Research Institute for Microbial Diseases (RIMD), Osaka University,Medical Center for Translational Research (MTR), Osaka University Hospital,Nobelpharma Co., Ltd.,Institut de Recherche en Sciences de la Santé (IRSS),European Vaccine Initiative e.V. (EVI e.V.)","$2,781,588"
Preclinical,Drug Preclinical development,NTD(Dengue),Drug,2016,Successfully Completed,Preclinical development of an anti-Dengue virus antibody that neutralizes all four serotypes,"Chugai Pharmaceutical Co., Ltd.,A*STAR′s Singapore Immunology Network (SIgN)","$5,348,894"
Discovery,Drug Target Validation,NTD(Chagas disease / Leishmaniasis),Drug,2016,Successfully Completed,"Targeting bromodomains for novel anti-parasitic mechanisms of action for malaria, Chagas disease, leishmaniasis and cryptosporidiosis","RIKEN,The University of Melbourne,McGill University ,Medicines for Malaria Venture (MMV),Drugs for Neglected Diseases initiative,Structural Genomics Consortium at University of Toronto","$982,436"
Discovery,Vaccine Antigen Identification,Malaria,Vaccine,2016,Successfully Completed,A Vaccine to Block Malaria Transmission: Pfs230 Antigen Design and Display,"Ehime University,PATH Malaria Vaccine Initiative","$595,650"
Clinical,Drug Clinical Phase3,NTD(Schistosomiasis),Drug,2016,Successfully Completed,Development and registration of a new pediatric praziquantel formulation for the treatment of schistosomiasis in preschool-aged children,"Astellas Pharma Inc.,Merck KGaA,Swiss Tropical and Public Health Institute,Farmanguinhos,Simcyp Limited,Unlimit Health,Lygature","$4,679,698"
Discovery,Drug Lead Identification,NTD(Chagas disease / Leishmaniasis),Drug,2016,Successfully Completed,Neglected Tropical Diseases Drug Discovery Booster II,"Eisai Co., Ltd.,SHIONOGI & CO., LTD.,Takeda Pharmaceutical Company Limited,Drugs for Neglected Diseases initiative","$549,447"
Preclinical,Drug Lead Optimization,Malaria,Drug,2016,Successfully Completed,Development of a novel mechanism-of-action antimalarial drug with multistage activity,"Eisai Co., Ltd.,Medicines for Malaria Venture (MMV),Broad Institute","$1,999,993"
Clinical,Drug Clinical Phase2,Malaria,Drug,2016,Successfully Completed,"Phase 2 Trial of SJ733, a Novel PfATP4 Inhibitor for Malaria","Eisai Co., Ltd.,Medicines for Malaria Venture (MMV),University of Kentucky","$4,500,001"
Discovery,Drug Hit Identification,Malaria,Drug,2017,Successfully Completed,Screening Program,"Eisai Co., Ltd.,Medicines for Malaria Venture (MMV)","$49,500"
Discovery,Drug Hit Identification,Malaria,Drug,2017,Successfully Completed,Screening Program,"Astellas Pharma Inc.,Medicines for Malaria Venture (MMV)","$65,836"
Discovery,Drug Hit Identification,Tuberculosis,Drug,2017,Successfully Completed,Screening Program,"Astellas Pharma Inc.,The Global Alliance for TB Drug Development","$99,986"
Discovery,Diagnostic Concept Development,Malaria,Diagnostic,2017,Successfully Completed,Towards rapid diagnosis of Plasmodium vivax malaria hypnozoite infection,"National Institute of Technology, Kumamoto College,Biomedical Primate Research Centre,Institute of Tropical Medicine (NEKKEN) Nagasaki University ","$728,830"
Preclinical,Drug Preclinical development,NTD(Leishmaniasis),Drug,2016,Successfully Completed,Preclinical development of CpG D35 for combined treatment of cutaneous leishmaniasis,"GeneDesign, Inc,Drugs for Neglected Diseases initiative","$4,918,672"
Clinical,Drug Clinical Phase2,Malaria,Drug,2016,Successfully Completed,Formulation Optimization Work on DSM265,"Takeda Pharmaceutical Company Limited,Medicines for Malaria Venture (MMV)","$1,589,999"
Preclinical,Vaccine Preclinical Development,NTD(Leishmaniasis),Vaccine,2016,Successfully Completed,Preclinical and preparation of early clinical testing of a new vaccine candidate against cutaneous leishmaniasis,"Nagasaki University,Charité –Universitätsmedizin Berlin,London School of Hygiene and Tropical Medicine(LSHTM),Mologen ,European Vaccine Initiative e.V. (EVI e.V.)","$4,096,664"
Clinical,Drug Clinical Phase2,NTD(Mycetoma),Drug,2017,Successfully Completed,"Mycetoma Treatment, Fosravuconazole Clinical Trial","Eisai Co., Ltd.,Drugs for Neglected Diseases initiative","$2,526,217"
Preclinical,Drug Lead Optimization,Malaria,Drug,2017,Successfully Completed,Lead optimization of potent Gwt1p inhibitors toward a new antimalarial drug with a novel mechanism of action,"Eisai Co., Ltd.,Medicines for Malaria Venture (MMV)","$2,639,670"
Discovery,Drug Hit Identification,NTD(Chagas disease / Leishmaniasis),Drug,2017,Successfully Completed,Chagas disease and Leishmaniasis Screening between DNDi and Daiichi Sankyo Novare,"Daiichi Sankyo RD Novare Co., Ltd.,Drugs for Neglected Diseases initiative","$119,000"
Discovery,Drug Lead Identification,Malaria,Drug,2017,Successfully Completed,HTL for selective Plasmodium proteasome inhibitors as new potent resistance-reversing antimalarials,"Takeda Pharmaceutical Company Limited,The University of Melbourne’s Bio21 Molecular Science and Biotechnology Institute,Medicines for Malaria Venture (MMV)","$461,245"
Discovery,Drug Lead Identification,Malaria,Drug,2017,Successfully Completed,New Hit-to-Lead Activity for New Anti-Malaria drugs between MMV and Sumitomo Dainippon Pharma,"Sumitomo Dainippon Pharma Co., Ltd.,Medicines for Malaria Venture (MMV)","$445,500"
Discovery,Drug Lead Identification,NTD(Chagas disease / Leishmaniasis),Drug,2017,Successfully Completed,Neglected Tropical Diseases Drug Discovery Booster III,"Eisai Co., Ltd.,SHIONOGI & CO., LTD.,Takeda Pharmaceutical Company Limited,Astellas Pharma Inc.,Drugs for Neglected Diseases initiative","$1,498,328"
Preclinical,Drug Lead Optimization,Tuberculosis,Drug,2017,Successfully Completed,Lead optimization of novel azetidine-based tryptophan synthase inhibitors as new mechanism of action treatment of tuberculosis,"Eisai Co., Ltd.,Colorado State University,The University of Chicago,The Global Alliance for TB Drug Development,Broad Institute","$2,003,324"
Preclinical,Drug Preclinical development,NTD(Leishmaniasis),Drug,2017,TERMINATED,Preclinical development and phase I activities on a selected aminopyrazole compound for visceral leishmaniasis,"Takeda Pharmaceutical Company Limited,Drugs for Neglected Diseases initiative","$6,047,757"
Preclinical,Vaccine Preclinical Development,Malaria,Vaccine,2017,Successfully Completed,"Process Development and Clinical Manufacturing of an Immuno-focused, Mosquito-based Pan-malaria transmission-blocking vaccine: AnAPN1 v. 2.0","CellFree Sciences Co. Ltd.,Ology Bioservices Inc.,Hamamatsu Pharma Research,Infectious Disease Research Institute,Centre Pasteur du Cameroun (CPC),The University of Florida","$3,484,217"
Discovery,Diagnostic Concept Development,NTD(Schistosomiasis),Diagnostic,2017,Successfully Completed,Novel diagnostics for schistosomiasis control: development of defined antigens for detection of Schistosoma infection-specific antibodies in blood and urine,"Institute of Tropical Medicine (NEKKEN) Nagasaki University ,Leiden University Medical Center,Lygature","$763,890"
Discovery,Vaccine Antigen Identification,Malaria,Vaccine,2017,Successfully Completed,Identification of Vaccine Targets that Will Block the Interaction of Plasmodium falciparum Malaria Parasites with a Complement Regulator,"Institute of Tropical Medicine (NEKKEN) Nagasaki University ,Antigen Discovery, Inc.,The Pennsylvania State  University","$881,900"
Discovery,Drug Target Validation,NTD(Chagas disease),Drug,2017,Successfully Completed,Target determination and exploratory research for discovery of new drugs against Chagas disease.,"National Institute of Advanced Industrial Science and Technology,High Energy Accelerator Research Organization (KEK),London School of Hygiene and Tropical Medicine(LSHTM),Institute of Tropical Medicine (NEKKEN) Nagasaki University ","$882,350"
Clinical,Diagnostic Product Validation,Tuberculosis,Diagnostic,2017,Successfully Completed,Fujifilm SILVAMP TB LAM – A Sensitive point-of-care Tuberculosis Test,"Fujifilm Corporation ,Foundation for Innovative New Diagnostics (FIND)","$4,217,169"
Preclinical,Vaccine Preclinical Development,NTD(Dengue),Vaccine,2018,Successfully Completed,The development and production of cGMP lots of a novel tetravalent dengue virus-like particle (VLP) vaccine,"Institute of Tropical Medicine (NEKKEN) Nagasaki University ,National Institute of Infectious Diseases,Johns Hopkins University,Latham BioPharm Group,VLP Therapeutics","$4,422,091"
Preclinical,Vaccine Preclinical Development,NTD(Leishmaniasis),Vaccine,2018,Successfully Completed,Immune therapy to prevent VL complications,"University of Tokyo,International Center for Diarrheal Disease Research Bangladesh,Infectious Disease Research Institute","$558,315"
Discovery,Drug Hit Identification,Malaria,Drug,2018,Successfully Completed,Screening Program,"University of Tokyo,Medicines for Malaria Venture (MMV)","$150,000"
Discovery,Drug Hit Identification,Tuberculosis,Drug,2018,TERMINATED,Screening Program,"Fujifilm Corporation ,The Global Alliance for TB Drug Development","$110,000"
Preclinical,Drug Lead Optimization,Malaria,Drug,2018,ACTIVE,Preclinical development of a new class of Plasmodium DHODH inhibitor for the treatment of malaria,"Eisai Co., Ltd.,Medicines for Malaria Venture (MMV),Broad Institute","$4,214,187"
Preclinical,Drug Preclinical development,NTD(Dengue),Drug,2018,Successfully Completed,Preclinical development of an anti-Dengue virus antibody that neutralizes all four serotypes,"Chugai Pharmaceutical Co., Ltd.,A*STAR′s Singapore Immunology Network (SIgN)","$4,892,737"
Preclinical,Vaccine Lead Optimization,NTD(Leishmaniasis),Vaccine,2018,ACTIVE,Live attenuated prophylactic vaccine for leishmaniasis,"Institute of Tropical Medicine (NEKKEN) Nagasaki University ,Gennova Biopharmaceuticals Ltd.,McGill University ,The Ohio State University","$3,998,989"
Preclinical,Drug Lead Optimization,Malaria,Drug,2018,Successfully Completed,Mitsubishi Tanabe Lead Optimization of Anti-Malarials,"Mitsubishi Tanabe Pharma Corporation,Medicines for Malaria Venture (MMV)","$1,922,475"
Preclinical,Drug Preclinical development,Malaria,Drug,2018,TERMINATED,Preclinical development of a novel mechanism-of-action antimalarial drug with multistage activity,"Eisai Co., Ltd.,Broad Institute","$5,368,224"
Clinical,Drug Registration,NTD(Schistosomiasis),Drug,2018,ACTIVE,"Treating schistosomiasis in preschool-aged children: development, registration and access to L-praziquantel orally disintegrating tablet formulation","Astellas Pharma Inc.,Merck KGaA,Swiss Tropical and Public Health Institute,Farmanguinhos,Unlimit Health,Université Félix Houphouët Boigny (UFHB),Kenya Medical Research Institute (KEMRI-CGHR),Lygature","$4,523,295"
Preclinical,Vaccine Lead Optimization,Malaria,Vaccine,2018,Successfully Completed,Further development of a new asexual blood-stage malaria vaccine candidate,"Ehime University,iBET,European Vaccine Initiative e.V. (EVI e.V.)","$930,571"
Discovery,Diagnostic Concept Development,Tuberculosis,Diagnostic,2018,Successfully Completed,Development of LFA platform for improving sensitivity of Point-of-Care assays for infectious disease with main focus on Tuberculosis and Malaria.,"Asahi Kasei Corporation,Biopromic AB","$1,000,000"
Discovery,Drug Lead Identification,Malaria,Drug,2018,Successfully Completed,New Hit-to-Lead Activity for New Anti-Malarials between MMV and Takeda,"Takeda Pharmaceutical Company Limited,Medicines for Malaria Venture (MMV)","$528,000"
Discovery,Drug Lead Identification,Tuberculosis,Drug,2018,Successfully Completed,Hit-to-Lead Development of Novel anti-TB Natural Products,"Daiichi Sankyo RD Novare Co., Ltd.,The Global Alliance for TB Drug Development","$1,192,440"
Preclinical,Vaccine Lead Optimization,NTD(Chagas disease),Vaccine,2019,ACTIVE,Optimization and pre-clinical development of a Trypanosoma cruzi Cyp19 knock-out strain as a live vaccine for Chagas disease.,"Institute of Tropical Medicine (NEKKEN) Nagasaki University ,Ohio University,The Ohio State University","$1,097,927"
Clinical,Diagnostic Product Development,Malaria,Diagnostic,2019,Successfully Completed,Commercial Development of a Saliva-based Malaria Asymptomatic and Asexual Rapid Test (SMAART-1),"CellFree Sciences Co. Ltd.,Frontier Institute Co.,  Ltd.,Oasis Diagnostics Corp.,ERADA Technology Alliance, Ltd.,The University of Florida","$1,382,696"
